Average Amount/transaction/day,Transaction_amount,Is declined,Total Number of declines/day,isForeignTransaction,isHighRiskCountry,Daily_chargeback_avg_amt,6_month_avg_chbk_amt,6-month_chbk_freq
736.0291264,4416.174758,0,6,0,0,0,0.0,0
379.420227,11003.18658,0,0,0,0,0,0.0,0
755.8673152000001,18896.68288,0,1,0,0,0,0.0,0
851.6197176000001,5961.338022999999,0,0,0,0,0,0.0,0
67.69839344,676.9839344,0,6,0,0,0,0.0,0
627.6895646,8787.653904,0,0,1,0,0,0.0,0
697.1947817,697.1947817,0,0,1,0,530,438.0,1
97.72484944,2345.3963870000002,0,0,0,0,0,0.0,0
463.01650980000005,926.0330196000001,0,0,0,0,0,0.0,0
319.9116166,0.0,0,0,0,0,0,0.0,0
223.86865299999997,4477.37306,0,0,0,0,0,0.0,0
293.8060975,4700.89756,0,0,0,0,0,0.0,0
80.53627851,2335.552077,0,0,1,1,593,413.0,8
666.0617481,21313.97594,0,8,0,0,939,767.0,3
695.7866069,11828.37232,0,6,0,0,0,0.0,0
314.4893202,7233.254365000001,0,0,1,0,0,0.0,0
647.4650967,5179.720774,0,0,0,0,0,0.0,0
82.07904675,2134.055216,0,0,0,0,0,0.0,0
266.7788614,7736.586981,0,0,0,0,0,0.0,0
945.0691734,12285.89925,0,0,0,0,0,0.0,0
422.46036380000004,6759.365820999999,0,0,0,0,0,0.0,0
498.633967,4986.33967,0,0,0,0,0,0.0,0
110.00762399999999,2640.182976,0,0,0,0,0,0.0,0
978.6914320000001,25445.97723,0,9,0,0,0,0.0,0
828.3151134999999,23192.82318,0,0,1,0,0,0.0,0
920.4157218,0.0,0,6,0,0,0,0.0,0
189.6390626,2844.585939,0,0,0,0,0,0.0,0
247.3165847,7419.497541,0,0,0,0,0,0.0,0
502.83936510000007,4525.554286,0,2,0,0,0,0.0,0
353.77783619999997,19104.00315,0,5,1,0,0,0.0,0
702.6567452,7729.224197,0,0,0,0,0,0.0,0
744.6895868,17872.55008,0,0,0,0,300,262.0,3
662.7658508,9278.721911,0,0,0,0,0,0.0,0
